Date,Open,High,Low,Close,Adj Close,Volume
2003-01-08,44643.734375,45232.441406,44055.023438,44349.378906,36817.210938,1016428.0
2003-01-09,43417.257813,43662.550781,41013.363281,42190.78125,35025.230469,2305690.0
2003-01-10,43171.960938,43270.078125,39737.828125,42141.722656,34984.5,1853276.0
2003-01-13,41503.953125,42681.371094,41503.953125,42681.371094,35432.496094,1341138.0
2003-01-14,41994.542969,42485.136719,41798.308594,41994.542969,34862.3125,967915.0
2003-01-15,42485.136719,42681.371094,41209.601563,41405.835938,34373.589844,1919319.0
2003-01-16,40228.417969,41749.25,39885.003906,41749.25,34658.679688,1349598.0
2003-01-17,40522.773438,41602.070313,40424.65625,40424.65625,33559.046875,817076.0
2003-01-20,39100.0625,40326.535156,39100.0625,39737.828125,32988.878906,763569.0
2003-01-21,39737.828125,40032.183594,37628.289063,37971.703125,31522.705078,2281740.0
2003-01-22,37284.875,37628.289063,36548.992188,36843.34375,30585.980469,2325564.0
2003-01-23,36990.523438,38462.292969,36352.753906,38266.058594,31767.066406,1938684.0
2003-01-24,38167.9375,38658.53125,36598.050781,36794.285156,30545.25,1116002.0
2003-01-27,35616.867188,36990.523438,35518.75,36990.523438,30708.166016,881692.0
2003-01-28,37284.875,37971.703125,37284.875,37824.527344,31400.53125,890253.0
2003-01-29,37922.644531,38069.820313,36990.523438,37088.640625,30789.619141,935199.0
2003-01-30,37775.464844,38756.648438,37579.230469,38756.648438,32174.337891,831752.0
2003-01-31,38756.648438,38756.648438,38756.648438,38756.648438,32174.337891,0.0
2003-02-03,39247.238281,39786.886719,38560.410156,39492.535156,32785.238281,724127.0
2003-02-04,39639.710938,39688.769531,38707.589844,39590.652344,32866.695313,803113.0
2003-02-05,38952.882813,39541.59375,38707.589844,38756.648438,32174.337891,577059.0
2003-02-06,38266.058594,38266.058594,36745.226563,37186.757813,30871.070313,1870602.0
2003-02-07,36548.992188,36794.285156,35813.105469,36303.695313,30137.988281,1005319.0
2003-02-10,35813.105469,36303.695313,35420.632813,35420.632813,29404.902344,801279.0
2003-02-11,35469.691406,35911.222656,33997.917969,34930.042969,28997.632813,1976393.0
2003-02-12,34439.453125,35420.632813,34292.273438,35420.632813,29404.902344,927963.0
2003-02-13,35616.867188,36450.871094,35322.515625,35322.515625,29323.445313,1346336.0
2003-02-14,35322.515625,35813.105469,35175.335938,35518.75,29486.351563,645854.0
2003-02-17,36990.523438,38315.117188,36794.285156,37873.585938,31441.25,1672780.0
2003-02-18,38118.878906,38952.882813,37432.054688,38707.589844,32133.603516,1399537.0
2003-02-19,39786.886719,39934.066406,38756.648438,38756.648438,32174.337891,1316984.0
2003-02-20,38462.292969,39247.238281,38216.996094,38952.882813,32337.244141,781609.0
2003-02-21,38952.882813,39149.121094,38462.292969,38952.882813,32337.244141,485843.0
2003-02-24,39149.121094,40571.832031,39149.121094,40473.714844,33599.789063,1245132.0
2003-02-25,39737.828125,39786.886719,38560.410156,38560.410156,32011.435547,1117530.0
2003-02-26,39247.238281,40375.597656,39001.941406,39737.828125,32988.878906,1433986.0
2003-02-27,38952.882813,40326.535156,38952.882813,39737.828125,32988.878906,915427.0
2003-02-28,40522.773438,40620.890625,38756.648438,39541.59375,32825.96875,868647.0
2003-03-03,39885.003906,41013.363281,39885.003906,41013.363281,34047.773438,994210.0
2003-03-04,40424.65625,40620.890625,39835.945313,40522.773438,33640.511719,717604.0
2003-03-05,39639.710938,39835.945313,39051.0,39394.414063,32703.791016,992783.0
2003-03-06,39737.828125,39885.003906,37971.703125,39149.121094,32500.150391,1123951.0
2003-03-07,38266.058594,38756.648438,37284.875,37284.875,30952.523438,1331558.0
2003-03-10,37432.054688,37775.464844,37088.640625,37432.054688,31074.707031,936422.0
2003-03-11,37186.757813,37677.347656,36598.050781,37284.875,30952.523438,861818.0
2003-03-12,37579.230469,38560.410156,37088.640625,38560.410156,32011.435547,966692.0
2003-03-13,38069.820313,38266.058594,36598.050781,38266.058594,31767.066406,1312601.0
2003-03-14,39688.769531,39983.125,39001.941406,39541.59375,32825.96875,1577588.0
2003-03-17,39737.828125,39737.828125,38511.351563,39149.121094,32500.150391,893005.0
2003-03-18,41013.363281,42190.78125,40277.476563,41945.484375,34821.597656,1684296.0
2003-03-19,42190.78125,42828.546875,41700.191406,42239.839844,35065.953125,1306486.0
2003-03-20,43270.078125,43809.730469,42387.015625,43171.960938,35839.765625,2458975.0
2003-03-21,43270.078125,44005.964844,42730.429688,43368.199219,36002.679688,1561893.0
2003-03-24,43662.550781,43760.671875,41896.425781,41896.425781,34780.863281,1440407.0
2003-03-25,40277.476563,41307.71875,40277.476563,41013.363281,34047.773438,1062087.0
2003-03-26,41700.191406,42337.957031,40768.070313,41454.894531,34414.320313,1173789.0
2003-03-27,40964.304688,41307.71875,40424.65625,40571.832031,33681.230469,785278.0
2003-03-28,40571.832031,40866.1875,39492.535156,40817.128906,33884.875,1195905.0
2003-03-31,40130.300781,40424.65625,39345.355469,39345.355469,32663.064453,982693.0
2003-04-01,39345.355469,40522.773438,39345.355469,40424.65625,33559.046875,913694.0
2003-04-02,40719.007813,40964.304688,39885.003906,40964.304688,34007.0625,978005.0
2003-04-03,42092.664063,42092.664063,40866.1875,41111.480469,34129.230469,974030.0
2003-04-04,40620.890625,41798.308594,39639.710938,41651.132813,34577.242188,1266636.0
2003-04-07,42534.195313,43858.789063,42190.78125,43858.789063,36409.953125,1560262.0
2003-04-08,42975.726563,44447.496094,42975.726563,44055.023438,36572.851563,1512768.0
2003-04-09,43760.671875,43760.671875,42485.136719,42485.136719,35269.582031,778653.0
2003-04-10,42092.664063,43171.960938,42092.664063,42877.609375,35595.40625,875067.0
2003-04-11,42681.371094,44447.496094,42436.074219,42926.667969,35636.132813,1824434.0
2003-04-14,43564.433594,44055.023438,42730.429688,42975.726563,35676.863281,1107950.0
2003-04-15,43809.730469,44104.082031,42141.722656,42779.488281,35513.941406,1395868.0
2003-04-16,43662.550781,44104.082031,42779.488281,43466.316406,36084.128906,2913529.0
2003-04-17,42975.726563,43368.199219,42534.195313,43270.078125,35921.21875,1604393.0
2003-04-18,44153.144531,44594.675781,43711.609375,44153.144531,36654.308594,1867647.0
2003-04-21,44153.144531,44938.085938,44055.023438,44153.144531,36654.308594,1516030.0
