Date,Close,Open,High,Low
2019-06-26,52.46,52.66,52.85,52.01
2019-06-27,52.7,52.54,52.78,52.21
2019-06-28,52.39,52.84,52.84,52.19
2019-06-29,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-06-30,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-01,53.71,53.56,53.82,52.98
2019-07-02,53.68,53.27,53.7,53.13
2019-07-03,54.72,54.21,54.81,54.19
2019-07-04,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-05,55.03,54.39,55.11,54.38
2019-07-06,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-07,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-08,54.66,54.9,54.92,54.66
2019-07-09,54.38,54.13,54.51,53.9
2019-07-10,54.78,55.11,55.2,54.67
2019-07-11,55.02,54.99,55.21,54.89
2019-07-12,55.77,55.68,55.99,55.55
2019-07-13,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-14,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-15,55.77,56.0,56.05,55.65
2019-07-16,53.99,54.16,54.51,53.69
2019-07-17,54.37,54.78,54.8,54.17
2019-07-18,53.95,53.65,54.05,53.41
2019-07-19,53.66,54.31,54.33,53.65
2019-07-20,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-21,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-22,53.8,54.02,54.05,53.68
2019-07-23,54.41,54.28,54.47,54.03
2019-07-24,55.1,54.87,55.21,54.75
2019-07-25,54.55,54.5,54.76,54.31
2019-07-26,54.8,54.8,54.93,54.59
2019-07-27,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-28,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-07-29,54.7,54.0,54.84,54.0
2019-07-30,57.1,56.06,57.41,56.02
2019-07-31,56.86,57.0,57.29,56.27
2019-08-01,55.85,56.45,57.29,55.66
2019-08-02,54.98,55.3,55.45,54.66
2019-08-03,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-08-04,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-08-05,53.65,53.83,53.83,53.31
2019-08-06,55.0,54.78,55.0,54.33
2019-08-07,55.53,55.48,55.84,54.93
2019-08-08,56.25,55.41,56.34,55.3
2019-08-09,56.11,56.48,56.59,55.71
2019-08-10,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-08-11,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-08-12,55.6,56.0,56.05,55.42
2019-08-13,56.26,55.7,56.64,55.51
2019-08-14,54.32,55.23,55.26,54.13
2019-08-15,55.02,54.7,55.22,54.58
2019-08-16,55.73,54.84,55.96,54.84
2019-08-17,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-08-18,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-08-19,55.72,55.72,55.98,55.61
2019-08-20,55.66,56.0,56.02,55.59
2019-08-21,56.65,56.33,57.06,56.2
2019-08-22,54.77,55.17,55.38,54.39
2019-08-23,53.84,54.8,55.06,53.66
2019-08-24,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-08-25,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-08-26,55.52,55.53,55.99,55.45
2019-08-27,55.51,55.71,55.98,55.31
2019-08-28,55.61,55.22,55.71,55.14
2019-08-29,56.72,56.33,57.6,56.33
2019-08-30,56.91,57.11,57.17,56.57
2019-08-31,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-01,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-02,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-03,57.43,57.22,57.77,57.0
2019-09-04,58.51,58.03,58.59,57.92
2019-09-05,59.54,59.55,60.04,59.48
2019-09-06,59.2,59.34,59.42,59.0
2019-09-07,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-08,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-09,59.98,60.5,60.63,59.68
2019-09-10,59.24,59.12,59.39,58.92
2019-09-11,60.05,59.61,60.15,59.46
2019-09-12,60.25,60.14,60.44,60.0
2019-09-13,60.36,60.1,60.53,60.09
2019-09-14,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-15,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-16,59.97,59.92,60.25,59.68
2019-09-17,59.94,60.15,60.15,59.26
2019-09-18,59.11,59.12,59.36,58.58
2019-09-19,59.35,59.39,59.78,59.24
2019-09-20,59.12,59.31,59.58,58.76
2019-09-21,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-22,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-23,59.12,58.98,59.27,58.87
2019-09-24,58.91,59.67,59.77,58.72
2019-09-25,60.58,60.4,60.74,59.87
2019-09-26,59.41,59.91,60.08,59.23
2019-09-27,58.77,58.83,59.39,58.65
2019-09-28,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-29,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-09-30,59.13,58.49,59.18,58.1
2019-10-01,57.96,58.5,58.96,57.65
2019-10-02,56.83,57.25,57.25,56.51
2019-10-03,57.93,57.35,58.0,57.0
2019-10-04,58.75,57.89,58.85,57.89
2019-10-05,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-10-06,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-10-07,58.07,58.1,58.4,58.07
2019-10-08,57.21,57.55,57.61,57.03
2019-10-09,57.87,57.78,58.1,57.69
2019-10-10,57.33,57.14,57.56,57.06
2019-10-11,58.14,58.0,58.91,58.0
2019-10-12,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-10-13,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-10-14,57.84,58.14,58.38,57.82
2019-10-15,58.5,58.19,58.68,58.15
2019-10-16,58.92,58.5,59.04,58.49
2019-10-17,60.04,60.03,60.25,59.76
2019-10-18,59.21,59.8,59.87,58.6
2019-10-19,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-10-20,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-10-21,59.18,59.44,59.58,59.11
2019-10-22,58.97,59.48,59.58,58.94
2019-10-23,58.58,58.77,58.81,58.24
2019-10-24,58.63,59.15,59.15,58.35
2019-10-25,58.51,58.23,58.62,58.03
2019-10-26,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-10-27,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-10-28,59.06,58.85,59.28,58.69
2019-10-29,59.24,58.86,59.34,58.83
2019-10-30,61.07,60.2,61.77,59.86
2019-10-31,60.83,61.08,61.09,60.41
2019-11-01,61.44,61.27,61.62,61.12
2019-11-02,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-03,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-04,61.57,61.8,61.85,61.34
2019-11-05,61.44,61.56,61.57,61.02
2019-11-06,60.73,61.04,61.2,60.68
2019-11-07,60.4,60.41,60.72,60.22
2019-11-08,60.41,60.25,60.57,60.15
2019-11-09,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-10,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-11,61.72,61.4,61.88,61.0
2019-11-12,62.13,62.0,62.5,61.91
2019-11-13,62.29,62.58,62.58,62.23
2019-11-14,61.85,62.01,62.1,61.34
2019-11-15,62.06,62.0,62.2,61.72
2019-11-16,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-17,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-18,62.44,63.01,63.01,62.33
2019-11-19,61.9,62.24,62.32,61.75
2019-11-20,61.48,61.72,61.88,61.25
2019-11-21,61.52,61.1,61.64,60.96
2019-11-22,61.2,61.64,61.7,61.17
2019-11-23,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-24,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-25,61.8,61.71,61.95,61.58
2019-11-26,63.15,63.0,63.2,62.62
2019-11-27,63.72,63.28,63.75,63.2
2019-11-28,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-11-29,63.48,63.26,63.6,63.22
2019-11-30,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-01,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-02,63.28,63.46,63.56,62.69
2019-12-03,64.59,64.4,64.63,63.91
2019-12-04,65.29,65.27,65.56,65.08
2019-12-05,65.2,65.16,65.29,64.8
2019-12-06,65.29,65.34,65.47,65.15
2019-12-07,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-08,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-09,65.93,65.61,66.3,65.61
2019-12-10,66.31,66.57,66.7,66.04
2019-12-11,66.54,66.48,66.55,66.2
2019-12-12,67.32,66.92,67.39,66.83
2019-12-13,67.57,67.4,67.79,67.2
2019-12-14,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-15,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-16,68.25,68.2,68.47,68.0
2019-12-17,67.74,68.04,68.09,67.69
2019-12-18,67.7,67.83,67.91,67.4
